Algorithm,Dataset,HammingLoss,Desv1,Accuracy,Desv2,Precision,Desv3,Recall,Desv4,FMeasure,Desv5,SubsetAccuracy,Desv6,MacroFMeasure,Desv7,MacroPrecision,Desv8,MacroRecall,Desv9,MicroFMeasure,Desv10,MicroPrecision,Desv11,MicroRecall,Desv12,OneError,Desv13,Coverage,Desv14,RankingLoss,Desv15,AveragePrecision,Desv16
BR-J48,CAL500-5x2x1,0.1632,0.0015,0.2134,0.0095,0.4390,0.0151,0.2968,0.0171,0.3465,0.0126,0.0000,0.0000,0.2947,0.0070,0.2508,0.0161,0.1190,0.0069,0.3485,0.0122,0.4332,0.0168,0.2920,0.0154,0.7093,0.0339,169.1071,1.1301,0.3139,0.0134,0.3472,0.0130
BR-J48,CAL500-5x2x2,0.1627,0.0020,0.2136,0.0063,0.4405,0.0060,0.2961,0.0130,0.3465,0.0090,0.0000,0.0000,0.2920,0.0093,0.2491,0.0213,0.1202,0.0078,0.3492,0.0091,0.4354,0.0078,0.2919,0.0132,0.7311,0.0257,169.3067,0.7647,0.3179,0.0105,0.3438,0.0068
BR-J48,corel5k-5x2x1,0.0098,0.0001,0.0569,0.0025,0.3624,0.0140,0.0618,0.0027,0.4676,0.0109,0.0032,0.0017,0.1761,0.0105,0.3387,0.0468,0.0152,0.0013,0.1068,0.0038,0.3696,0.0183,0.0625,0.0026,0.7110,0.0096,127.4314,1.8519,0.1474,0.0017,0.2448,0.0067
BR-J48,corel5k-5x2x2,0.0098,0.0001,0.0604,0.0015,0.3662,0.0155,0.0663,0.0017,0.4633,0.0047,0.0034,0.0010,0.1787,0.0144,0.3151,0.0403,0.0152,0.0011,0.1125,0.0022,0.3727,0.0197,0.0663,0.0016,0.7024,0.0130,127.6454,1.9764,0.1475,0.0034,0.2452,0.0059
BR-J48,emotions-5x2x1,0.2558,0.0111,0.4343,0.0246,0.6006,0.0269,0.5579,0.0354,0.7099,0.0070,0.1787,0.0278,0.5627,0.0200,0.5893,0.0147,0.5489,0.0248,0.5752,0.0230,0.5953,0.0184,0.5568,0.0298,0.4165,0.0642,2.5718,0.1786,0.3001,0.0374,0.6899,0.0341
BR-J48,emotions-5x2x2,0.2510,0.0231,0.4527,0.0388,0.6070,0.0560,0.5830,0.0401,0.7143,0.0187,0.1991,0.0369,0.5798,0.0181,0.5936,0.0383,0.5793,0.0263,0.5938,0.0317,0.6011,0.0429,0.5891,0.0390,0.4216,0.0746,2.4889,0.1219,0.2891,0.0291,0.6931,0.0335
BR-J48,enron-5x2x1,0.0520,0.0016,0.4037,0.0184,0.6427,0.0057,0.4893,0.0216,0.6090,0.0074,0.1010,0.0185,0.3994,0.0244,0.4483,0.0261,0.1464,0.0107,0.5353,0.0140,0.6213,0.0053,0.4706,0.0202,0.3843,0.0330,23.3937,0.8399,0.1774,0.0115,0.5879,0.0127
BR-J48,enron-5x2x2,0.0525,0.0010,0.3983,0.0234,0.6355,0.0161,0.4863,0.0264,0.6041,0.0102,0.1022,0.0192,0.4064,0.0241,0.4165,0.0362,0.1434,0.0087,0.5314,0.0167,0.6161,0.0135,0.4674,0.0200,0.4001,0.0305,22.4724,0.8673,0.1718,0.0087,0.5890,0.0118
BR-J48,genbase-5x2x1,0.0013,0.0005,0.9839,0.0072,0.9947,0.0049,0.9892,0.0062,0.9903,0.0035,0.9668,0.0140,0.9861,0.0066,0.9724,0.0252,0.9079,0.0299,0.9861,0.0051,0.9894,0.0096,0.9829,0.0076,0.0030,0.0037,0.3836,0.0720,0.0033,0.0030,0.9909,0.0049
BR-J48,genbase-5x2x2,0.0012,0.0007,0.9846,0.0094,0.9947,0.0042,0.9899,0.0075,0.9918,0.0045,0.9698,0.0166,0.9920,0.0076,0.9732,0.0335,0.9221,0.0456,0.9873,0.0076,0.9892,0.0071,0.9855,0.0112,0.0075,0.0082,0.3534,0.0992,0.0028,0.0028,0.9911,0.0058
BR-J48,scene-5x2x1,0.1338,0.0072,0.5395,0.0168,0.6826,0.0203,0.6420,0.0184,0.8715,0.0118,0.4250,0.0216,0.6408,0.0140,0.6456,0.0182,0.6398,0.0186,0.6279,0.0159,0.6256,0.0206,0.6306,0.0181,0.4134,0.0078,1.3319,0.1077,0.2446,0.0207,0.7113,0.0077
BR-J48,scene-5x2x2,0.1388,0.0040,0.5241,0.0146,0.6679,0.0135,0.6169,0.0169,0.8796,0.0083,0.4200,0.0176,0.6220,0.0095,0.6276,0.0093,0.6193,0.0137,0.6101,0.0116,0.6135,0.0121,0.6070,0.0158,0.4292,0.0098,1.3303,0.0798,0.2452,0.0138,0.7019,0.0109
BR-J48,yeast-5x2x1,0.2499,0.0020,0.4322,0.0057,0.6042,0.0015,0.5703,0.0129,0.6123,0.0047,0.0625,0.0069,0.4461,0.0056,0.4376,0.0257,0.3773,0.0062,0.5793,0.0056,0.5905,0.0040,0.5687,0.0117,0.4270,0.0400,9.2981,0.2360,0.3172,0.0089,0.6110,0.0054
BR-J48,yeast-5x2x2,0.2511,0.0060,0.4336,0.0096,0.5999,0.0166,0.5697,0.0145,0.6152,0.0105,0.0741,0.0049,0.4221,0.0095,0.4192,0.0130,0.3749,0.0113,0.5781,0.0107,0.5884,0.0148,0.5684,0.0141,0.4092,0.0330,9.2473,0.1191,0.3140,0.0099,0.6197,0.0085
LP-J48,CAL500-5x2x1,0.2002,0.0034,0.2043,0.0044,0.3357,0.0044,0.3368,0.0126,0.3298,0.0079,0.0000,0.0000,0.2817,0.0090,0.1630,0.0081,0.1678,0.0130,0.3325,0.0079,0.3319,0.0054,0.3334,0.0132,0.9881,0.0115,170.9731,0.4106,0.6572,0.0107,0.1162,0.0038
LP-J48,CAL500-5x2x2,0.2016,0.0018,0.1991,0.0053,0.3295,0.0125,0.3297,0.0057,0.3219,0.0074,0.0000,0.0000,0.2790,0.0080,0.1602,0.0071,0.1584,0.0057,0.3264,0.0067,0.3266,0.0112,0.3263,0.0051,0.9881,0.0074,170.9493,0.4063,0.6584,0.0097,0.1159,0.0031
LP-J48,corel5k-5x2x1,0.0167,0.0001,0.0766,0.0017,0.1126,0.0033,0.1111,0.0031,0.4002,0.0058,0.0146,0.0005,0.1431,0.0151,0.0361,0.0033,0.0331,0.0031,0.1101,0.0031,0.1104,0.0035,0.1098,0.0027,0.9842,0.0016,347.0530,0.6419,0.7475,0.0040,0.0227,0.0013
LP-J48,corel5k-5x2x2,0.0167,0.0002,0.0737,0.0062,0.1084,0.0079,0.1082,0.0089,0.3980,0.0085,0.0126,0.0027,0.1327,0.0141,0.0355,0.0056,0.0330,0.0070,0.1084,0.0089,0.1089,0.0088,0.1080,0.0090,0.9878,0.0039,348.1636,1.0212,0.7503,0.0067,0.0199,0.0024
LP-J48,emotions-5x2x1,0.2628,0.0067,0.4600,0.0168,0.5790,0.0132,0.5601,0.0195,0.7324,0.0190,0.2277,0.0287,0.5686,0.0180,0.5781,0.0160,0.5665,0.0212,0.5777,0.0145,0.5783,0.0180,0.5775,0.0172,0.4402,0.0514,2.6868,0.1877,0.3353,0.0348,0.6649,0.0318
LP-J48,emotions-5x2x2,0.2763,0.0218,0.4516,0.0351,0.5576,0.0421,0.5722,0.0420,0.7175,0.0161,0.2074,0.0306,0.5521,0.0397,0.5492,0.0402,0.5625,0.0421,0.5604,0.0364,0.5553,0.0350,0.5659,0.0400,0.4537,0.0642,2.7000,0.1760,0.3425,0.0418,0.6643,0.0373
LP-J48,enron-5x2x1,0.0727,0.0013,0.3339,0.0072,0.4582,0.0089,0.4377,0.0111,0.5483,0.0121,0.1099,0.0087,0.2986,0.0258,0.1531,0.0113,0.1490,0.0167,0.4170,0.0116,0.4264,0.0110,0.4082,0.0136,0.8037,0.0268,39.6451,0.5394,0.5470,0.0199,0.2286,0.0179
LP-J48,enron-5x2x2,0.0725,0.0025,0.3354,0.0187,0.4589,0.0256,0.4453,0.0202,0.5530,0.0181,0.1099,0.0105,0.3087,0.0111,0.1726,0.0131,0.1554,0.0096,0.4220,0.0154,0.4290,0.0193,0.4153,0.0130,0.8102,0.0255,39.6079,0.9301,0.5460,0.0220,0.2263,0.0184
LP-J48,genbase-5x2x1,0.0023,0.0012,0.9788,0.0080,0.9887,0.0067,0.9807,0.0084,0.9903,0.0031,0.9653,0.0102,0.9677,0.0235,0.9721,0.0167,0.8780,0.0427,0.9753,0.0118,0.9843,0.0086,0.9666,0.0168,0.0121,0.0061,0.5183,0.1821,0.0084,0.0046,0.9847,0.0071
LP-J48,genbase-5x2x2,0.0019,0.0014,0.9825,0.0103,0.9924,0.0069,0.9837,0.0098,0.9909,0.0066,0.9698,0.0151,0.9721,0.0263,0.9828,0.0268,0.8944,0.0572,0.9795,0.0145,0.9890,0.0116,0.9703,0.0197,0.0091,0.0088,0.5194,0.1622,0.0073,0.0046,0.9872,0.0072
LP-J48,scene-5x2x1,0.1408,0.0097,0.5983,0.0280,0.6171,0.0258,0.6215,0.0327,0.9548,0.0046,0.5567,0.0260,0.6172,0.0257,0.6185,0.0240,0.6187,0.0303,0.6073,0.0272,0.6063,0.0231,0.6084,0.0317,0.3934,0.0261,1.1300,0.1013,0.2073,0.0183,0.7370,0.0203
LP-J48,scene-5x2x2,0.1471,0.0095,0.5787,0.0259,0.6006,0.0303,0.6001,0.0234,0.9520,0.0031,0.5355,0.0243,0.5998,0.0278,0.6038,0.0282,0.5984,0.0274,0.5888,0.0264,0.5893,0.0297,0.5883,0.0235,0.4142,0.0272,1.2405,0.0839,0.2280,0.0182,0.7170,0.0184
LP-J48,yeast-5x2x1,0.2789,0.0078,0.4089,0.0109,0.5417,0.0184,0.5404,0.0128,0.6178,0.0099,0.1328,0.0090,0.4038,0.0190,0.3829,0.0185,0.3799,0.0146,0.5377,0.0120,0.5395,0.0133,0.5361,0.0122,0.5176,0.0060,9.5052,0.0992,0.4057,0.0112,0.5675,0.0067
LP-J48,yeast-5x2x2,0.2834,0.0073,0.4027,0.0116,0.5311,0.0180,0.5248,0.0092,0.6185,0.0085,0.1382,0.0117,0.3986,0.0167,0.3797,0.0071,0.3726,0.0086,0.5284,0.0097,0.5325,0.0169,0.5245,0.0060,0.5275,0.0261,9.4597,0.1118,0.4080,0.0071,0.5642,0.0101
RAkEL-BR,CAL500-5x2x1,0.1632,0.0015,0.2134,0.0095,0.4390,0.0151,0.2968,0.0171,0.3465,0.0126,0.0000,0.0000,0.2947,0.0070,0.2508,0.0161,0.1190,0.0069,0.3485,0.0122,0.4332,0.0168,0.2920,0.0154,0.6973,0.0394,169.5662,0.7248,0.4770,0.0148,0.2743,0.0101
RAkEL-BR,CAL500-5x2x2,0.1627,0.0020,0.2136,0.0063,0.4405,0.0060,0.2961,0.0130,0.3465,0.0090,0.0000,0.0000,0.2920,0.0093,0.2491,0.0213,0.1202,0.0078,0.3492,0.0091,0.4354,0.0078,0.2919,0.0132,0.7090,0.0404,169.3335,0.4042,0.4730,0.0037,0.2733,0.0044
RAkEL-BR,corel5k-5x2x1,0.0098,0.0001,0.0569,0.0025,0.3624,0.0140,0.0618,0.0027,0.4676,0.0109,0.0032,0.0017,0.1761,0.0105,0.3387,0.0468,0.0152,0.0013,0.1068,0.0038,0.3696,0.0183,0.0625,0.0026,0.8514,0.0081,342.6982,2.3650,0.7010,0.0049,0.0680,0.0021
RAkEL-BR,corel5k-5x2x2,0.0098,0.0001,0.0604,0.0015,0.3662,0.0155,0.0663,0.0017,0.4633,0.0047,0.0034,0.0010,0.1787,0.0144,0.3151,0.0403,0.0152,0.0011,0.1125,0.0022,0.3727,0.0197,0.0663,0.0016,0.8432,0.0034,342.1606,0.4082,0.6956,0.0054,0.0712,0.0014
RAkEL-BR,emotions-5x2x1,0.2558,0.0111,0.4343,0.0246,0.6006,0.0269,0.5579,0.0354,0.7099,0.0070,0.1787,0.0278,0.5627,0.0200,0.5893,0.0147,0.5489,0.0248,0.5752,0.0230,0.5953,0.0184,0.5568,0.0298,0.3980,0.0456,2.6611,0.0748,0.3158,0.0273,0.6872,0.0257
RAkEL-BR,emotions-5x2x2,0.2510,0.0231,0.4527,0.0388,0.6070,0.0560,0.5830,0.0401,0.7143,0.0187,0.1991,0.0369,0.5798,0.0181,0.5936,0.0383,0.5793,0.0263,0.5938,0.0317,0.6011,0.0429,0.5891,0.0390,0.4014,0.0847,2.5189,0.1618,0.2930,0.0363,0.6994,0.0392
RAkEL-BR,enron-5x2x1,0.0520,0.0016,0.4037,0.0184,0.6427,0.0057,0.4893,0.0216,0.6090,0.0074,0.1010,0.0185,0.3994,0.0244,0.4483,0.0261,0.1464,0.0107,0.5353,0.0140,0.6213,0.0053,0.4706,0.0202,0.4342,0.0163,32.2349,0.4937,0.3139,0.0158,0.4632,0.0173
RAkEL-BR,enron-5x2x2,0.0525,0.0010,0.3983,0.0234,0.6355,0.0161,0.4863,0.0264,0.6041,0.0102,0.1022,0.0192,0.4064,0.0241,0.4165,0.0362,0.1434,0.0087,0.5314,0.0167,0.6161,0.0135,0.4674,0.0200,0.4477,0.0240,31.9000,0.8568,0.3115,0.0151,0.4599,0.0213
RAkEL-BR,genbase-5x2x1,0.0013,0.0005,0.9839,0.0072,0.9947,0.0049,0.9892,0.0062,0.9903,0.0035,0.9668,0.0140,0.9861,0.0066,0.9724,0.0252,0.9079,0.0299,0.9861,0.0051,0.9894,0.0096,0.9829,0.0076,0.0091,0.0056,0.3610,0.0527,0.0029,0.0022,0.9899,0.0036
RAkEL-BR,genbase-5x2x2,0.0012,0.0007,0.9846,0.0094,0.9947,0.0042,0.9899,0.0075,0.9918,0.0045,0.9698,0.0166,0.9920,0.0076,0.9732,0.0335,0.9221,0.0456,0.9873,0.0076,0.9892,0.0071,0.9855,0.0112,0.0106,0.0102,0.3761,0.0809,0.0038,0.0028,0.9895,0.0063
RAkEL-BR,scene-5x2x1,0.1338,0.0072,0.5395,0.0168,0.6826,0.0203,0.6420,0.0184,0.8715,0.0118,0.4250,0.0216,0.6408,0.0140,0.6456,0.0182,0.6398,0.0186,0.6279,0.0159,0.6256,0.0206,0.6306,0.0181,0.4134,0.0217,1.0964,0.0468,0.1993,0.0097,0.7309,0.0118
RAkEL-BR,scene-5x2x2,0.1388,0.0040,0.5241,0.0146,0.6679,0.0135,0.6169,0.0169,0.8796,0.0083,0.4200,0.0176,0.6220,0.0095,0.6276,0.0093,0.6193,0.0137,0.6101,0.0116,0.6135,0.0121,0.6070,0.0158,0.4325,0.0099,1.1271,0.0239,0.2064,0.0043,0.7204,0.0067
RAkEL-BR,yeast-5x2x1,0.2488,0.0027,0.4332,0.0060,0.6067,0.0031,0.5700,0.0128,0.6136,0.0049,0.0637,0.0072,0.4531,0.0134,0.4572,0.0228,0.3766,0.0066,0.5803,0.0060,0.5929,0.0053,0.5685,0.0116,0.2631,0.0075,9.6975,0.1908,0.3416,0.0070,0.6389,0.0046
RAkEL-BR,yeast-5x2x2,0.2500,0.0062,0.4343,0.0095,0.6021,0.0163,0.5693,0.0147,0.6161,0.0110,0.0741,0.0049,0.4401,0.0116,0.4392,0.0237,0.3734,0.0117,0.5789,0.0105,0.5906,0.0149,0.5680,0.0142,0.2689,0.0218,9.5859,0.0528,0.3439,0.0067,0.6379,0.0085
HOMER,CAL500-5x2x1,0.1904,0.0027,0.2516,0.0058,0.3807,0.0080,0.4292,0.0152,0.3966,0.0076,0.0000,0.0000,0.3330,0.0069,0.2118,0.0167,0.1906,0.0093,0.4001,0.0081,0.3788,0.0101,0.4243,0.0136,0.8566,0.0348,168.7747,0.7369,0.3763,0.0053,0.2859,0.0087
HOMER,CAL500-5x2x2,0.1872,0.0063,0.2477,0.0071,0.3862,0.0088,0.4131,0.0176,0.3922,0.0090,0.0000,0.0000,0.3303,0.0122,0.2125,0.0081,0.1843,0.0142,0.3955,0.0089,0.3830,0.0080,0.4092,0.0167,0.7569,0.0491,169.1583,0.4316,0.3745,0.0077,0.3008,0.0050
HOMER,corel5k-5x2x1,0.0133,0.0003,0.1005,0.0067,0.2188,0.0098,0.1457,0.0107,0.3836,0.0071,0.0026,0.0010,0.1932,0.0061,0.0973,0.0103,0.0309,0.0021,0.1717,0.0091,0.2088,0.0085,0.1461,0.0108,0.7924,0.0174,281.3386,6.1227,0.4424,0.0184,0.1231,0.0080
HOMER,corel5k-5x2x2,0.0132,0.0003,0.1053,0.0060,0.2307,0.0102,0.1501,0.0075,0.3878,0.0119,0.0028,0.0030,0.1899,0.0134,0.0975,0.0177,0.0316,0.0016,0.1770,0.0086,0.2152,0.0126,0.1504,0.0068,0.7840,0.0195,281.6864,3.1290,0.4395,0.0102,0.1277,0.0082
HOMER,emotions-5x2x1,0.2647,0.0093,0.4218,0.0196,0.5951,0.0265,0.5568,0.0207,0.7057,0.0123,0.1636,0.0284,0.5448,0.0246,0.5705,0.0181,0.5320,0.0262,0.5611,0.0213,0.5797,0.0211,0.5440,0.0252,0.4553,0.0509,2.6593,0.0657,0.3259,0.0193,0.6656,0.0221
HOMER,emotions-5x2x2,0.2527,0.0065,0.4582,0.0163,0.6188,0.0098,0.5923,0.0362,0.7223,0.0178,0.1956,0.0280,0.5837,0.0110,0.5944,0.0154,0.5846,0.0290,0.5920,0.0127,0.5957,0.0128,0.5892,0.0272,0.3997,0.0358,2.5260,0.0463,0.2971,0.0195,0.6952,0.0192
HOMER,enron-5x2x1,0.0589,0.0023,0.4034,0.0128,0.5797,0.0147,0.5298,0.0175,0.5933,0.0049,0.1011,0.0082,0.3717,0.0200,0.2492,0.0082,0.1760,0.0234,0.5192,0.0072,0.5419,0.0163,0.4989,0.0137,0.4630,0.0375,27.7178,1.2621,0.2454,0.0170,0.5010,0.0106
HOMER,enron-5x2x2,0.0577,0.0029,0.4185,0.0215,0.5917,0.0296,0.5440,0.0171,0.6051,0.0119,0.1140,0.0175,0.3863,0.0252,0.2711,0.0300,0.1760,0.0181,0.5338,0.0156,0.5524,0.0352,0.5177,0.0107,0.4578,0.0511,28.2897,2.1779,0.2505,0.0257,0.5018,0.0308
HOMER,genbase-5x2x1,0.0016,0.0005,0.9795,0.0084,0.9927,0.0051,0.9847,0.0082,0.9892,0.0045,0.9622,0.0135,0.9811,0.0073,0.9703,0.0276,0.9015,0.0265,0.9825,0.0055,0.9871,0.0106,0.9781,0.0088,0.0121,0.0091,0.5437,0.1233,0.0069,0.0027,0.9853,0.0065
HOMER,genbase-5x2x2,0.0017,0.0011,0.9790,0.0113,0.9939,0.0057,0.9843,0.0080,0.9899,0.0050,0.9622,0.0197,0.9750,0.0175,0.9702,0.0417,0.9022,0.0493,0.9814,0.0116,0.9868,0.0130,0.9761,0.0129,0.0106,0.0102,0.5345,0.2117,0.0062,0.0035,0.9868,0.0066
HOMER,scene-5x2x1,0.1437,0.0069,0.5095,0.0145,0.6534,0.0210,0.6154,0.0201,0.8651,0.0139,0.3964,0.0213,0.6122,0.0149,0.6137,0.0182,0.6147,0.0222,0.6020,0.0145,0.5973,0.0175,0.6071,0.0206,0.4449,0.0169,1.2526,0.0713,0.2321,0.0136,0.7007,0.0141
HOMER,scene-5x2x2,0.1434,0.0058,0.5269,0.0224,0.6460,0.0197,0.6090,0.0254,0.8876,0.0098,0.4296,0.0203,0.6104,0.0188,0.6114,0.0158,0.6122,0.0237,0.6001,0.0193,0.5989,0.0171,0.6015,0.0235,0.4354,0.0288,1.2529,0.1759,0.2310,0.0360,0.7048,0.0279
HOMER,yeast-5x2x1,0.2632,0.0124,0.4272,0.0168,0.5796,0.0244,0.5919,0.0178,0.6084,0.0118,0.0559,0.0101,0.4362,0.0121,0.4148,0.0169,0.4055,0.0154,0.5758,0.0154,0.5628,0.0218,0.5900,0.0169,0.4038,0.0643,9.4078,0.1685,0.3368,0.0125,0.6049,0.0154
HOMER,yeast-5x2x2,0.2632,0.0052,0.4313,0.0079,0.5847,0.0160,0.5978,0.0256,0.6057,0.0020,0.0612,0.0077,0.4307,0.0115,0.4089,0.0182,0.4108,0.0202,0.5769,0.0054,0.5627,0.0162,0.5932,0.0236,0.4158,0.0554,9.4532,0.1387,0.3388,0.0078,0.6010,0.0144
CLR,CAL500-5x2x1,0.1382,0.0032,0.1782,0.0112,0.6341,0.0117,0.2008,0.0146,0.2974,0.0144,0.0000,0.0000,0.3254,0.0086,0.5078,0.0653,0.0526,0.0042,0.2969,0.0165,0.6223,0.0123,0.1952,0.0142,0.1334,0.0203,130.8860,1.8991,0.1810,0.0030,0.5047,0.0043
CLR,CAL500-5x2x2,0.1380,0.0029,0.1792,0.0108,0.6386,0.0091,0.2024,0.0137,0.2982,0.0146,0.0000,0.0000,0.3392,0.0109,0.4777,0.0383,0.0534,0.0041,0.2986,0.0149,0.6231,0.0168,0.1966,0.0126,0.1174,0.0350,132.2864,0.9192,0.1808,0.0033,0.5072,0.0120
CLR,corel5k-5x2x1,0.0095,0.0001,0.0343,0.0036,0.4574,0.0389,0.0360,0.0037,0.4525,0.0101,0.0014,0.0012,0.1295,0.0127,0.6352,0.0638,0.0053,0.0006,0.0677,0.0064,0.4568,0.0319,0.0366,0.0035,0.6698,0.0144,104.1318,1.2721,0.1176,0.0021,0.2859,0.0080
CLR,corel5k-5x2x2,0.0095,0.0000,0.0378,0.0007,0.4667,0.0117,0.0397,0.0013,0.4614,0.0065,0.0018,0.0012,0.1365,0.0086,0.6544,0.0363,0.0056,0.0004,0.0735,0.0029,0.4702,0.0144,0.0399,0.0018,0.6734,0.0075,104.4004,2.2380,0.1175,0.0031,0.2858,0.0038
CLR,emotions-5x2x1,0.2538,0.0094,0.4418,0.0215,0.6117,0.0299,0.6130,0.0307,0.7117,0.0136,0.1585,0.0135,0.5902,0.0205,0.5906,0.0174,0.5967,0.0256,0.5985,0.0202,0.5894,0.0159,0.6081,0.0270,0.3271,0.0217,1.9240,0.0581,0.1897,0.0158,0.7667,0.0097
